SINHAPUTHRA FINANCE PLC,SFL.N0000,17.00,62958930,1070301810.00,0.04
SMB LEASING PLC,SEMB.N0000,0.70,1191766772,834236740.40,0.03
SOFTLOGIC CAPITAL PLC,SCAP.N0000,5.40,688160000,3716064000.00,0.15
SOFTLOGIC FINANCE PLC,CRL.N0000,36.00,59070988,2126555568.00,0.09
SOFTLOGIC HOLDINGS PLC,SHL.N0000,13.50,779000000,10516500000.00,0.43
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,19.50,375000000,7312500000.00,0.30
SRI LANKA TELECOM PLC,SLTL.N0000,36.70,1804860000,66238362000.00,2.68
STANDARD CAPITAL PLC,SING.N0000,81.00,5540828,448807068.00,0.02
SUMMIT FINANCE PLC,GSF.N0000,27.00,22500000,607500000.00,0.02
SUNSHINE HOLDINGS PLC,SUN.N0000,49.00,135140986,6621908314.00,0.27
SWADESHI INDUSTRIAL WORKS PLC,SWAD.N0000,13500.00,130666,1763991000.00,0.07
SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,1.50,500000140,750000210.00,0.03
SWISSTEK (CEYLON) PLC,PARQ.N0000,71.00,27372000,1943412000.00,0.08
TAL LANKA HOTELS PLC,TAJ.N0000,26.50,139637494,3700393591.00,0.15
TALAWAKELLE TEA ESTATES  PLC,TPL.N0000,32.00,23750000,760000000.00,0.03
TANGERINE BEACH HOTELS PLC,TANG.N0000,63.90,20000000,1278000000.00,0.05
TAPROBANE HOLDINGS PLC,TAP.N0000,4.20,1002724815,4211444223.00,0.17
TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,24.00,30000000,720000000.00,0.03
TEEJAY LANKA PLC,TJL.N0000,43.70,698592840,30528507108.00,1.24
TESS AGRO PLC,TESS.N0000,1.50,280000000,420000000.00,0.02
THE AUTODROME PLC,AUTO.N0000,71.10,12000000,853200000.00,0.03
THE COLOMBO FORT LAND & BUILDING PLC,CFLB.N0000,19.10,180000000,3438000000.00,0.14
THE FINANCE COMPANY PLC,TFC.N0000,7.20,57966232,417356870.40,0.02
THE FORTRESS RESORTS PLC,RHTL.N0000,14.50,110886684,1607856918.00,0.07
THE KINGSBURY PLC,SERV.N0000,15.00,242000000,3630000000.00,0.15
THE LANKA HOSPITAL CORPORATION PLC,LHCL.N0000,68.00,223732169,15213787492.00,0.62
THE LIGHTHOUSE HOTEL PLC,LHL.N0000,55.00,46000000,2530000000.00,0.10
THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,1460.00,2003870,2925650200.00,0.12
THREE ACRE FARMS PLC,TAFL.N0000,136.60,23545000,3216247000.00,0.13
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,61.90,222750000,13788225000.00,0.56
TOUCHWOOD INVESTMENTS PLC,TWOD.N0000,0.00,106905600,,0.00
TRADE FINANCE & INVESTMENTS PLC,TFIL.N0000,0.00,56800400,,0.00
TRANS ASIA HOTELS PLC,TRAN.N0000,90.00,200000000,18000000000.00,0.73
UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,18.80,19398850,364698380.00,0.01
UNION ASSURANCE PLC,UAL.N0000,154.10,58928572,9080892945.20,0.37
UNION BANK OF COLOMBO PLC,UBC.N0000,15.90,1091406249,17353359359.10,0.70
UNION CHEMICALS LANKA PLC,UCAR.N0000,510.00,1500000,765000000.00,0.03
UNITED MOTORS LANKA PLC,UML.N0000,90.50,100900626,9131506653.00,0.37
VALLIBEL FINANCE PLC,VFIN.N0000,61.50,41550600,2555361900.00,0.10
VALLIBEL ONE PLC,VONE.N0000,19.50,1086559353,21187907383.50,0.86
VALLIBEL POWER ERATHNA PLC,VPEL.N0000,8.60,747109731,6425143686.60,0.26
VANIK INCORPORATION PLC,VANI.N0000,0.00,65481650,,0.00
VIDULLANKA PLC,VLL.N0000,5.60,747153790,4184061224.00,0.17
WASKADUWA BEACH RESORT PLC,CITW.N0000,5.00,201746915,1008734575.00,0.04
WATAWALA PLANTATIONS PLC,WATA.N0000,19.20,236666670,4544000064.00,0.18
YORK ARCADE HOLDINGS PLC,YORK.N0000,15.20,12000000,182400000.00,0.01
